benchmark, unique_loop_id, loop_nest_level, dynOp_count, floatOp_count, branchOp_count, memOp_count, operands_count, implicit_instr_count, unique_pred_count, trip_count, loop_calls, reuse_count, use_count, def_count, store_count, load_count
433.milc,433.milc_258,5,3,0,0.666667,0.333333,1.33333,0,0,3,0,0,0.333333,0, 0.333333, 0
433.milc,433.milc_259,7,60,0,0.0166667,0.6,1.71667,0.133333,0,5,0,0,1.25,0, 0.0333333, 0.333333
433.milc,433.milc_260,6,3,0,0.666667,0.333333,1.33333,0,0,4,0,0,0.333333,0, 0.333333, 0
433.milc,433.milc_261,5,3,0,0.666667,0.333333,1.33333,0,0,3,0,0,0.333333,0, 0.333333, 0
433.milc,433.milc_262,4,81,0,0.246914,0.493827,1.79012,0.0617284,0.0246914,5,0,0,1.02469,0, 0.0987654, 0.333333
433.milc,433.milc_263,3,3,0,0.666667,0.333333,1.33333,0,0,1,0,0,0.333333,0, 0.333333, 0
433.milc,433.milc_264,2,3,0,0.666667,0.333333,1.33333,0,0,1,0,0,0.333333,0, 0.333333, 0
433.milc,433.milc_265,1,31,0,0.258065,0.322581,1.70968,0.0967742,0.0645161,1,0,0,0.870968,0, 0.0645161, 0.258065
433.milc,433.milc_266,1,27,0,0.259259,0.37037,1.85185,0.0740741,0.037037,1,0,0,0.888889,0, 0.037037, 0.259259
433.milc,433.milc_267,4,45,0,0.0222222,0.755556,1.71111,0.177778,0,1,0,0,1.28889,0, 0.133333, 0.355556
433.milc,433.milc_268,3,3,0,0.666667,0.333333,1.33333,0,0,4,0,0,0.333333,0, 0.333333, 0
433.milc,433.milc_269,2,21,0.047619,0.0952381,0.619048,1.7619,0.0952381,0,3,0,2,1.14286,0, 0.190476, 0.190476
433.milc,433.milc_270,1,3,0,0.666667,0.333333,1.33333,0,0,5,0,0,0.333333,0, 0.333333, 0
433.milc,433.milc_271,1,19,0,0.0526316,0.684211,1.78947,0.210526,0,1,0,0,1.26316,0, 0, 0.368421
433.milc,433.milc_272,2,21,0,0.190476,0.52381,1.66667,0.142857,0.0952381,4,0,0,1,0, 0.047619, 0.333333
433.milc,433.milc_273,2,14,0,0.214286,0.5,1.71429,0.142857,0.142857,5,0,0,1,0, 0, 0.357143
433.milc,433.milc_274,2,8,0,0.25,0.5,1.625,0.125,0.125,1,0,0,1,0, 0, 0.375
433.milc,433.milc_275,1,23,0,0.478261,0.26087,1.65217,0,0.0869565,1,0,0,0.521739,0, 0.173913, 0.0869565
433.milc,433.milc_276,1,195,0.112821,0.00512821,0.841026,1.78974,0.0410256,0,1,0,0,1.33333,0, 0.184615, 0.410256
433.milc,433.milc_277,1,403,0.163772,0.00248139,0.833747,1.86352,0,0,4,0,0,1.32506,0, 0.163772, 0.401985
433.milc,433.milc_278,1,408,0.161765,0.00245098,0.833333,1.86029,0.00245098,0,5,0,0,1.32598,0, 0.164216, 0.401961
433.milc,433.milc_279,1,475,0.138947,0.00210526,0.808421,1.93474,0.0505263,0,5,0,0,1.27579,0, 0.0884211, 0.366316
433.milc,433.milc_280,2,219,0.100457,0.00456621,0.821918,1.77626,0.0730594,0,4,0,0,1.33333,0, 0.164384, 0.401826
433.milc,433.milc_281,1,3,0,0.666667,0.333333,1.33333,0,0,4,0,0,0.333333,0, 0.333333, 0
433.milc,433.milc_282,2,219,0.100457,0.00456621,0.821918,1.77626,0.0730594,0,4,0,0,1.33333,0, 0.164384, 0.401826
433.milc,433.milc_283,1,3,0,0.666667,0.333333,1.33333,0,0,4,0,0,0.333333,0, 0.333333, 0
433.milc,433.milc_284,1,195,0.112821,0.00512821,0.841026,1.78974,0.0410256,0,4,0,0,1.33333,0, 0.184615, 0.410256
433.milc,433.milc_285,2,199,0.120603,0.00502513,0.834171,1.78392,0.040201,0,4,0,0,1.33668,0, 0.180905, 0.41206
433.milc,433.milc_286,1,22,0,0.318182,0.636364,1.72727,0.0454545,0,4,0,0,1,0, 0.272727, 0.318182
433.milc,433.milc_287,1,15,0,0.0666667,0.8,1.93333,0.133333,0,5,0,0,1.06667,0, 0.133333, 0.266667
433.milc,433.milc_288,4,104,0,0.0576923,0.663462,1.59615,0.125,0.00961538,4,0,0,1.14423,0, 0.0769231, 0.413462
433.milc,433.milc_289,3,3,0,0.666667,0.333333,1.33333,0,0,1,0,0,0.333333,0, 0.333333, 0
433.milc,433.milc_290,2,3,0,0.666667,0.333333,1.33333,0,0,1,0,0,0.333333,0, 0.333333, 0
433.milc,433.milc_291,1,3,0,0.666667,0.333333,1.33333,0,0,1,0,0,0.333333,0, 0.333333, 0
433.milc,433.milc_292,1,19,0,0.157895,0.421053,1.68421,0.210526,0.0526316,1,0,0,0.789474,0, 0.0526316, 0.263158
433.milc,433.milc_293,1,32,0.0625,0.03125,0.46875,1.4375,0.375,0,17,0,0,1.21875,0, 0, 0.3125
433.milc,433.milc_294,2,119,0.0672269,0.0672269,0.647059,1.77311,0.168067,0.0168067,1,0,0,1.19328,0, 0.0336134, 0.344538
433.milc,433.milc_295,1,14,0.0714286,0.142857,0.5,1.42857,0.214286,0,4,0,0,1.07143,0, 0.214286, 0.214286
433.milc,433.milc_296,1,14,0.0714286,0.0714286,0.571429,1.71429,0.214286,0,1,0,0,1.21429,0, 0, 0.357143
433.milc,433.milc_297,1,10,0,0.1,0.6,1.5,0.2,0,1,0,0,1,0, 0, 0.4
433.milc,433.milc_298,1,8,0,0.125,0.625,1.625,0.125,0,1,0,0,1.125,0, 0, 0.375
433.milc,433.milc_299,1,8,0,0.125,0.625,1.625,0.125,0,1,0,0,1.125,0, 0, 0.375
433.milc,433.milc_300,1,12,0,0.0833333,0.583333,1.33333,0.25,0,1,0,0,1.08333,0, 0, 0.416667
433.milc,433.milc_301,2,12,0,0.0833333,0.583333,1.33333,0.25,0,1,0,0,1.08333,0, 0, 0.416667
433.milc,433.milc_302,2,20,0,0.05,0.65,1.6,0.2,0,1,0,0,1.15,0, 0, 0.4
433.milc,433.milc_303,2,17,0,0.0588235,0.705882,1.64706,0.176471,0,1,0,0,1.23529,0, 0, 0.411765
433.milc,433.milc_304,2,19,0,0.0526316,0.684211,1.57895,0.210526,0,1,0,0,1.15789,0, 0, 0.421053
433.milc,433.milc_305,2,12,0,0.0833333,0.583333,1.33333,0.25,0,1,0,0,1.08333,0, 0, 0.416667
433.milc,433.milc_306,2,22,0,0.0454545,0.636364,1.5,0.227273,0,1,0,0,1.18182,0, 0, 0.409091
433.milc,433.milc_307,2,17,0,0.0588235,0.705882,1.64706,0.176471,0,1,0,0,1.23529,0, 0, 0.411765
433.milc,433.milc_308,2,21,0,0.047619,0.666667,1.47619,0.238095,0,1,0,0,1.19048,0, 0, 0.428571
433.milc,433.milc_309,1,221,0,0.135747,0.574661,1.57014,0.117647,0.00904977,1,0,0,0.995475,0, 0.135747, 0.357466
433.milc,433.milc_310,1,12,0,0.0833333,0.666667,1.83333,0.0833333,0,1,0,0,1.08333,0, 0, 0.333333
433.milc,433.milc_311,1,33,0.0606061,0.0909091,0.575758,1.93939,0.121212,0.030303,1,0,0,1.15152,0, 0.121212, 0.212121
433.milc,433.milc_312,2,25,0,0.12,0.52,1.76,0.24,0.04,1,0,0,1.04,0, 0, 0.32
433.milc,433.milc_313,1,27,0,0.0740741,0.592593,1.74074,0.185185,0,1,0,0,1,0, 0.148148, 0.259259
433.milc,433.milc_314,1,13,0,0.0769231,0.692308,1.76923,0.153846,0,1,0,0,1.07692,0, 0, 0.384615
433.milc,433.milc_315,2,5,0.2,0.2,0.6,1.4,0,0,1,0,0,1,0, 0.2, 0.4
433.milc,433.milc_316,1,32,0,0.125,0.65625,1.75,0.125,0.03125,1,0,0,1.09375,0, 0.125, 0.375
433.milc,433.milc_317,9,35,0,0.0857143,0.6,1.65714,0.2,0.0285714,1,0,3,1.22857,0, 0.0857143, 0.314286
433.milc,433.milc_318,9,13,0,0.0769231,0.692308,1.46154,0.230769,0,5,0,1,1.23077,0, 0.0769231, 0.384615
433.milc,433.milc_319,9,5,0,0.2,0.6,1.6,0.2,0,1,0,0,1,0, 0.2, 0.2
433.milc,433.milc_320,9,12,0,0.166667,0.583333,2.25,0.0833333,0.0833333,1,0,0,1.08333,0, 0.0833333, 0.166667
433.milc,433.milc_321,9,13,0,0.0769231,0.692308,1.69231,0.230769,0,1,0,1,1.07692,0, 0.0769231, 0.307692
433.milc,433.milc_322,8,62,0.016129,0.209677,0.612903,1.75806,0.0806452,0.0322581,8,0,0,0.806452,0, 0.209677, 0.225806
433.milc,433.milc_323,7,4,0,0.5,0.5,1.75,0,0,1,0,0,0.5,0, 0.25, 0
